gn,fileId,ok,size,mean_db,note,src_sdm
sdom2030,12030,1,4693643,,exists-skip,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2030.sdm
sdom2050,12050,1,1120730,,exists-skip,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2050.sdm
sdom2051,12051,1,1367789,,exists-skip,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2051.sdm
sdom2052,12052,1,1205086,,exists-skip,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2052.sdm
sdom2053,12053,1,1213951,,exists-skip,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2053.sdm
sdom2054,12054,1,1306149,,exists-skip,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2054.sdm
sdom2056,12056,1,1229751,,exists-skip,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2056.sdm
sdom2057,12057,1,1659467,,exists-skip,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2057.sdm
sdom2058,12058,1,1380824,,exists-skip,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2058.sdm
sdom2059,12059,1,1828458,,exists-skip,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2059.sdm
sdom2060,12060,1,887539,,exists-skip,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2060.sdm
sdom2062,12062,1,1649779,,exists-skip,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2062.sdm
sdom2063,12063,1,1473553,,exists-skip,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2063.sdm
sdom2064,12064,1,1195079,,exists-skip,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2064.sdm
sdom2065,12065,1,1296138,,exists-skip,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2065.sdm
sdom2066,12066,1,1479658,,exists-skip,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2066.sdm
sdom2067,12067,1,1529459,,exists-skip,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2067.sdm
sdom2071,12071,1,1244611,,exists-skip,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2071.sdm
sdom2074,12074,1,1712989,,exists-skip,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2074.sdm
sdom2075,12075,1,1511329,,exists-skip,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2075.sdm
sdom2092,12092,1,1309716,,exists-skip,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2092.sdm
sdom2093,12093,1,1565551,,exists-skip,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2093.sdm
sdom2095,12095,1,1076777,,exists-skip,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2095.sdm
sdom2097,12097,1,1010632,,exists-skip,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2097.sdm
sdom2098,12098,1,1548005,,exists-skip,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2098.sdm
sdom2100,12100,1,1434740,,exists-skip,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2100.sdm
sdom2101,12101,1,1136382,,exists-skip,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2101.sdm
sdom2102,12102,1,1251514,,exists-skip,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2102.sdm
sdom2103,12103,1,1316358,,exists-skip,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2103.sdm
sdom2104,12104,1,1184716,,exists-skip,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2104.sdm
sdom2105,12105,1,1299888,,exists-skip,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2105.sdm
sdom2106,12106,1,1212332,,exists-skip,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2106.sdm
sdom2107,12107,1,1483349,,exists-skip,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2107.sdm
sdom2110,12110,1,1171335,-11.4,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2110.sdm
sdom2113,12113,1,1108674,-12.4,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2113.sdm
sdom2111,12111,1,1205446,-12.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2111.sdm
sdom2115,12115,1,1483441,-11.3,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2115.sdm
sdom2112,12112,1,1253256,-11.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2112.sdm
sdom2114,12114,1,1337748,-14.3,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2114.sdm
sdom2108,12108,1,1338292,-9.5,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2108.sdm
sdom2109,12109,1,1827371,-15.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2109.sdm
sdom2119,12119,1,893101,-17.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2119.sdm
sdom2118,12118,1,1420162,-11.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2118.sdm
sdom2124,12124,1,1237425,-10.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2124.sdm
sdom2117,12117,1,1289964,-12.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2117.sdm
sdom2116,12116,1,948052,-12.5,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2116.sdm
sdom2122,12122,1,1472277,-12.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2122.sdm
sdom2125,12125,1,1207943,-11.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2125.sdm
sdom2123,12123,1,1638796,-11.4,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2123.sdm
sdom2126,12126,1,1375038,-12.6,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2126.sdm
sdom2127,12127,1,1521814,-12.4,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2127.sdm
sdom2131,12131,1,1619882,-12.9,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2131.sdm
sdom2130,12130,1,1463123,-10.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2130.sdm
sdom2133,12133,1,1421651,-8.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2133.sdm
sdom2132,12132,1,1390415,-9.4,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2132.sdm
sdom2135,12135,1,1293970,-11.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2135.sdm
sdom2136,12136,1,1466230,-13.5,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2136.sdm
sdom2139,12139,1,1164044,-14.2,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2139.sdm
sdom2138,12138,1,1484358,-12.3,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2138.sdm
sdom2137,12137,1,1945498,-12.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2137.sdm
sdom2200,12200,1,1180162,-10.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2200.sdm
sdom2230,12230,1,1314216,-10.6,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2230.sdm
sdom2199,12199,1,1830597,-11.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2199.sdm
sdom2245,12245,1,1372240,-11.4,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2245.sdm
sdom2241,12241,1,1912152,-7.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2241.sdm
sdom2248,12248,1,1221181,-8.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2248.sdm
sdom2252,12252,1,1159740,-9.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2252.sdm
sdom2253,12253,1,1122055,-10.2,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2253.sdm
sdom2254,12254,1,1606992,-8.9,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2254.sdm
sdom2270,12270,1,1368615,-9.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2270.sdm
sdom2271,12271,1,1514197,-14.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2271.sdm
sdom2272,12272,1,1394445,-14.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2272.sdm
sdom2273,12273,1,1606085,-11.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2273.sdm
sdom2274,12274,1,1111340,-14.6,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom2274.sdm
sdom0576,10576,1,1270347,-10.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0576.sdm
sdom0575,10575,1,1565013,-12.4,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0575.sdm
sdom0577,10577,1,1191433,-12.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0577.sdm
sdom0578,10578,1,1223694,-12.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0578.sdm
sdom0579,10579,1,1264946,-12.6,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0579.sdm
sdom0580,10580,1,1404029,-14.5,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0580.sdm
sdom0581,10581,1,1551528,-13.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0581.sdm
sdom0582,10582,1,1265806,-11.6,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0582.sdm
sdom0583,10583,1,1244962,-10.3,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0583.sdm
sdom0584,10584,1,1277576,-12.9,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0584.sdm
sdom0585,10585,1,1173347,-12.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0585.sdm
sdom0586,10586,1,1022323,-10.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0586.sdm
sdom0587,10587,1,1620062,-9.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0587.sdm
sdom0588,10588,1,1724947,-8.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0588.sdm
sdom0589,10589,1,1199312,-11.6,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0589.sdm
sdom0590,10590,1,1297431,-17.3,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0590.sdm
sdom0592,10592,1,988530,-11.4,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0592.sdm
sdom0591,10591,1,1476534,-9.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0591.sdm
sdom0593,10593,1,1374680,-12.6,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0593.sdm
sdom0594,10594,1,1536110,-10.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0594.sdm
sdom0595,10595,1,1665915,-10.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0595.sdm
sdom0596,10596,1,1437377,-11.2,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0596.sdm
sdom0985,10985,1,1714561,-15.6,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0985.sdm
sdom1114,11114,1,2772223,-12.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1114.sdm
sdom1112,11112,1,3313421,-10.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1112.sdm
sdom1170,11170,1,1501456,-10.4,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1170.sdm
sdom1171,11171,1,1755744,-9.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1171.sdm
sdom1172,11172,1,2270041,-11.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1172.sdm
sdom1111,11111,1,7645107,-9.2,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1111.sdm
sdom1174,11174,1,2527875,-8.6,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1174.sdm
sdom1115,11115,1,9125704,-9.4,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1115.sdm
sdom1175,11175,1,2061362,-10.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1175.sdm
sdom1176,11176,1,1546839,-10.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1176.sdm
sdom1177,11177,1,1948976,-10.9,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1177.sdm
sdom1178,11178,1,1311280,-11.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1178.sdm
sdom1179,11179,1,1662841,-14.2,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1179.sdm
sdom1184,11184,1,1672511,-12.2,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1184.sdm
sdom1180,11180,1,2124182,-12.2,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1180.sdm
sdom1185,11185,1,1952733,-10.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1185.sdm
sdom1187,11187,1,1998273,-10.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1187.sdm
sdom1186,11186,1,2498315,-13.3,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1186.sdm
sdom1189,11189,1,1926436,-10.6,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1189.sdm
sdom1190,11190,1,1782192,-12.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1190.sdm
sdom1192,11192,1,2451639,-9.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1192.sdm
sdom1193,11193,1,2109938,-10.2,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1193.sdm
sdom1195,11195,1,2288252,-12.5,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1195.sdm
sdom1196,11196,1,1957859,-13.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1196.sdm
sdom1227,11227,1,2072373,-8.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1227.sdm
sdom1198,11198,1,2101528,-10.6,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1198.sdm
sdom1282,11282,1,1860840,-9.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1282.sdm
sdom1281,11281,1,3852400,-8.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1281.sdm
sdom1284,11284,1,2067098,-11.3,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1284.sdm
sdom1286,11286,1,2596010,-8.4,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1286.sdm
sdom1287,11287,1,1909972,-14.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1287.sdm
sdom1288,11288,1,1853048,-11.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1288.sdm
sdom1289,11289,1,2500381,-11.6,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1289.sdm
sdom1290,11290,1,2247956,-12.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1290.sdm
sdom1291,11291,1,1698140,-11.2,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1291.sdm
sdom1292,11292,1,1986096,-10.3,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1292.sdm
sdom1294,11294,1,1780692,-10.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1294.sdm
sdom1297,11297,1,1939681,-11.5,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1297.sdm
sdom1295,11295,1,1966689,-9.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1295.sdm
sdom1300,11300,1,1892298,-9.9,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1300.sdm
sdom1302,11302,1,1702269,-10.6,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1302.sdm
sdom1301,11301,1,1982131,-9.6,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1301.sdm
sdom1303,11303,1,2328561,-10.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1303.sdm
sdom1304,11304,1,2044132,-9.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1304.sdm
sdom1307,11307,1,2005084,-11.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1307.sdm
sdom1308,11308,1,1969660,-9.5,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1308.sdm
sdom1310,11310,1,2287932,-9.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1310.sdm
sdom1346,11346,1,2183127,-9.5,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1346.sdm
sdom1348,11348,1,1357128,-11.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1348.sdm
sdom1347,11347,1,1501099,-12.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1347.sdm
sdom1349,11349,1,1486020,-10.5,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1349.sdm
sdom1350,11350,1,1894660,-12.9,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1350.sdm
sdom1351,11351,1,1591838,-9.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1351.sdm
sdom1356,11356,1,1599038,-11.2,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1356.sdm
sdom1359,11359,1,1489431,-12.3,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1359.sdm
sdom1360,11360,1,2455016,-11.5,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1360.sdm
sdom1362,11362,1,1866314,-10.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1362.sdm
sdom1364,11364,1,2149720,-9.4,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1364.sdm
sdom1365,11365,1,2665319,-9.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1365.sdm
