gn,fileId,source,title,missing,no_preview,no_dance,no_icon
sdom0082,10082,SDO-X Alchemist,Max power,dance+icon,0,1,1
sdom0246,10246,SDO-X Alchemist,Pop Ye! Ye!,dance+icon,0,1,1
sdom0247,10247,SDO-X Alchemist,Dua Dunia,dance+icon,0,1,1
sdom0248,10248,SDO-X Alchemist,Kembali Senyum,dance+icon,0,1,1
sdom0249,10249,SDO-X Alchemist,Kenapa,dance+icon,0,1,1
sdom0251,10251,SDO-X Alchemist,愛拼才會贏,dance+icon,0,1,1
sdom0252,10252,SDO-X Alchemist,Da' Bomb,dance+icon,0,1,1
sdom0253,10253,SDO-X Alchemist,Bad Day,dance+icon,0,1,1
sdom0254,10254,SDO-X Alchemist,Stupid girl,dance+icon,0,1,1
sdom0255,10255,SDO-X Alchemist,Beep (feat will i am),dance+icon,0,1,1
sdom0256,10256,SDO-X Alchemist,Still Alive,dance+icon,0,1,1
sdom0257,10257,SDO-X Alchemist,快D快樂,dance+icon,0,1,1
sdom0258,10258,SDO-X Alchemist,Blue,dance+icon,0,1,1
sdom0287,10287,SDO-X Alchemist,一個人的行李,dance+icon,0,1,1
sdom0309,10309,SDO-X Alchemist,天灰灰的,dance+icon,0,1,1
sdom0330,10330,SDO-X Alchemist,唯舞獨尊(remix串燒 ),dance+icon,0,1,1
sdom0348,10348,SDO-X Alchemist,雪聖誕,dance+icon,0,1,1
sdom0397,10397,SDO-X Alchemist,Crazy in love,dance+icon,0,1,1
sdom0574,10574,SDO-X Alchemist,小心女人,dance+icon,0,1,1
sdom0575,10575,SDO-X Alchemist,愛是…,dance+icon,0,1,1
sdom0576,10576,SDO-X Alchemist,獨家試唱,dance+icon,0,1,1
sdom0577,10577,SDO-X Alchemist,煞科,dance+icon,0,1,1
sdom0578,10578,SDO-X Alchemist,比堅尼,dance+icon,0,1,1
sdom0579,10579,SDO-X Alchemist,小峽谷,dance+icon,0,1,1
sdom0580,10580,SDO-X Alchemist,奇洛李維斯回信,dance+icon,0,1,1
sdom0581,10581,SDO-X Alchemist,糖不甩,dance+icon,0,1,1
sdom0582,10582,SDO-X Alchemist,薛凱琪,dance+icon,0,1,1
sdom0583,10583,SDO-X Alchemist,無忌,dance+icon,0,1,1
sdom0584,10584,SDO-X Alchemist,失意諒解備忘錄,dance+icon,0,1,1
sdom0585,10585,SDO-X Alchemist,sailor and machine gun,dance+icon,0,1,1
sdom0586,10586,SDO-X Alchemist,一變傾城,dance+icon,0,1,1
sdom0587,10587,SDO-X Alchemist,唱這歌,dance+icon,0,1,1
sdom0588,10588,SDO-X Alchemist,PARA PARA SAKURA,dance+icon,0,1,1
sdom0589,10589,SDO-X Alchemist,搖滾叛徒,dance+icon,0,1,1
sdom0590,10590,SDO-X Alchemist,地下街,dance+icon,0,1,1
sdom0591,10591,SDO-X Alchemist,目黑,dance+icon,0,1,1
sdom0592,10592,SDO-X Alchemist,不敵,dance+icon,0,1,1
sdom0593,10593,SDO-X Alchemist,我們的愛,dance+icon,0,1,1
sdom0594,10594,SDO-X Alchemist,千年之戀,dance+icon,0,1,1
sdom0595,10595,SDO-X Alchemist,無限,dance+icon,0,1,1
sdom0596,10596,SDO-X Alchemist,把愛放開,dance+icon,0,1,1
sdom0985,10985,SDO-X Alchemist,牛仔很忙,dance+icon,0,1,1
sdom1112,11112,SDO-X Alchemist,Monster,preview,1,0,0
sdom1113,11113,SDO-X Alchemist,Fanstatic Baby,preview+dance+icon,1,1,1
sdom1187,11187,SDO-X Alchemist,周大俠,dance+icon,0,1,1
sdom1281,11281,SDO-X Alchemist,Blood on Fire,dance+icon,0,1,1
sdom1286,11286,SDO-X Alchemist,For no one,dance+icon,0,1,1
sdom1771,11771,SDO-X Alchemist,Through My Window,dance+icon,0,1,1
sdom1963,11963,SDO-X Alchemist,單程車票,dance+icon,0,1,1
sdom1964,11964,SDO-X Alchemist,RPG,dance+icon,0,1,1
sdom1966,11966,SDO-X Alchemist,Lacrimosa,dance+icon,0,1,1
sdom1967,11967,SDO-X Alchemist,そばにいてあげる,dance+icon,0,1,1
sdom1969,11969,SDO-X Alchemist,就在,dance+icon,0,1,1
sdom1970,11970,SDO-X Alchemist,要我的命,dance+icon,0,1,1
sdom1972,11972,SDO-X Alchemist,迷迷羊,dance+icon,0,1,1
sdom1973,11973,SDO-X Alchemist,任性,dance+icon,0,1,1
sdom5001,15001,SDO-X Alchemist,Dogfight,preview+dance+icon,1,1,1
sdom5002,15002,SDO-X Alchemist,Final Countdown,preview+dance+icon,1,1,1
sdom5003,15003,SDO-X Alchemist,Gamble Ramble,preview+dance+icon,1,1,1
sdom5004,15004,SDO-X Alchemist,Space Boy,preview+dance+icon,1,1,1
sdom5005,15005,SDO-X Alchemist,Running In The 90's,preview+dance+icon,1,1,1
sdom5006,15006,SDO-X Alchemist,Resonance,preview+dance+icon,1,1,1
sdom5007,15007,SDO-X Alchemist,Heart of Witch,preview+dance+icon,1,1,1
sdom5008,15008,SDO-X Alchemist,Crossing Field,preview+dance+icon,1,1,1
sdom5009,15009,SDO-X Alchemist,Unfinished,preview+dance+icon,1,1,1
sdom5010,15010,SDO-X Alchemist,Forever Young,preview+dance+icon,1,1,1
sdom5011,15011,SDO-X Alchemist,Blazability,preview+dance+icon,1,1,1
sdom5012,15012,SDO-X Alchemist,My Colorful Confuse,dance+icon,0,1,1
sdom5013,15013,SDO-X Alchemist,Wedding Dress,preview+dance+icon,1,1,1
sdom5014,15014,SDO-X Alchemist,Uso,preview+dance+icon,1,1,1
sdom5015,15015,SDO-X Alchemist,Catch Me,preview+dance+icon,1,1,1
sdom5016,15016,SDO-X Alchemist,Explosive,preview+dance+icon,1,1,1
sdom5017,15017,SDO-X Alchemist,Phantom of Blue,preview+dance+icon,1,1,1
sdom5018,15018,SDO-X Alchemist,Jihad,preview+dance+icon,1,1,1
sdom5019,15019,SDO-X Alchemist,V,preview+dance+icon,1,1,1
sdom5020,15020,SDO-X Alchemist,V2,preview+dance+icon,1,1,1
sdom5021,15021,SDO-X Alchemist,Libera Me,preview+dance+icon,1,1,1
sdom5022,15022,SDO-X Alchemist,Joker,preview+dance+icon,1,1,1
sdom5023,15023,SDO-X Alchemist,Silly-Go-Round,preview+dance+icon,1,1,1
sdom5024,15024,SDO-X Alchemist,Heartbreaker,preview+dance+icon,1,1,1
sdom5025,15025,SDO-X Alchemist,Crayon,preview+dance+icon,1,1,1
sdom5026,15026,SDO-X Alchemist,I Got A Boy,preview+dance+icon,1,1,1
sdom5027,15027,SDO-X Alchemist,Pandora,preview+dance+icon,1,1,1
sdom5028,15028,SDO-X Alchemist,My Dearest,preview+dance+icon,1,1,1
sdom5029,15029,SDO-X Alchemist,Tonight,preview+dance+icon,1,1,1
sdom5030,15030,SDO-X Alchemist,Guren no Yumiya,preview+dance+icon,1,1,1
sdom5033,15033,SDO-X Alchemist,Gentleman,preview+dance+icon,1,1,1
sdom5035,15035,SDO-X Alchemist,Shinsekai,preview+dance+icon,1,1,1
sdom5040,15040,SDO-X Alchemist,Pure Ruby,preview+dance+icon,1,1,1
sdom5041,15041,SDO-X Alchemist,ViViD,dance+icon,0,1,1
sdom5042,15042,SDO-X Alchemist,Ryoushi No Umi No Rintovurumu,preview+dance+icon,1,1,1
sdom5044,15044,SDO-X Alchemist,Jiyuu no Tsubasa,preview+dance+icon,1,1,1
sdom5045,15045,SDO-X Alchemist,Great Escape,preview+dance+icon,1,1,1
sdom5046,15046,SDO-X Alchemist,Turii,dance+icon,0,1,1
sdom5047,15047,SDO-X Alchemist,Ignite,preview+dance+icon,1,1,1
sdom5048,15048,SDO-X Alchemist,Elpis,dance+icon,0,1,1
sdom5051,15051,SDO-X Alchemist,Akasagarbha,dance+icon,0,1,1
sdom5053,15053,SDO-X Alchemist,THE HERO !!,dance+icon,0,1,1
sdom5060,15060,SDO-X Alchemist,Almagest,dance+icon,0,1,1
sdom5062,15062,SDO-X Alchemist,Clattanoia,dance+icon,0,1,1
sdom5064,15064,SDO-X Alchemist,This Game,dance+icon,0,1,1
sdom5065,15065,SDO-X Alchemist,Axion,dance+icon,0,1,1
sdom5066,15066,SDO-X Alchemist,Rising Hope,dance+icon,0,1,1
sdom5067,15067,SDO-X Alchemist,Saika,dance+icon,0,1,1
sdom5068,15068,SDO-X Alchemist,Butter-Fly,preview+dance+icon,1,1,1
sdom5069,15069,SDO-X Alchemist,Dynasty,dance+icon,0,1,1
sdom5070,15070,SDO-X Alchemist,Sorceress Elise,dance+icon,0,1,1
sdom5071,15071,SDO-X Alchemist,Raison D'etre,dance+icon,0,1,1
sdom5072,15072,SDO-X Alchemist,Odin,dance+icon,0,1,1
sdom5073,15073,SDO-X Alchemist,Holy Knight,dance+icon,0,1,1
sdom5074,15074,SDO-X Alchemist,Catch Me If You Can,dance+icon,0,1,1
sdom5079,15079,SDO-X Alchemist,Beautiful,dance+icon,0,1,1
sdom5080,15080,SDO-X Alchemist,Imprinting,dance+icon,0,1,1
sdom5081,15081,SDO-X Alchemist,Garasu no Hitomi,dance+icon,0,1,1
sdom5082,15082,SDO-X Alchemist,Persephone,dance+icon,0,1,1
sdom5083,15083,SDO-X Alchemist,TT,dance+icon,0,1,1
sdom5084,15084,SDO-X Alchemist,ANiMA,dance+icon,0,1,1
sdom5085,15085,SDO-X Alchemist,Identic Conflict,dance+icon,0,1,1
sdom2721,12721,閉撰敃氪,Bbibbi,icon,0,0,1
sdom2722,12722,閉撰敃氪,FEEL IT,icon,0,0,1
sdom2723,12723,閉撰敃氪,Shape of your heart,icon,0,0,1
sdom2724,12724,閉撰敃氪,約會對白,icon,0,0,1
sdom2725,12725,閉撰敃氪,永遠フレンズ,icon,0,0,1
sdom2726,12726,閉撰敃氪,禁断のレジスタンス,icon,0,0,1
sdom2727,12727,閉撰敃氪,Sweet Talk,icon,0,0,1
sdom2728,12728,閉撰敃氪,Blue,icon,0,0,1
sdom2729,12729,閉撰敃氪,BAD MAMA JAMA,icon,0,0,1
sdom2730,12730,閉撰敃氪,那,icon,0,0,1
sdom2731,12731,閉撰敃氪,Lie,icon,0,0,1
sdom2732,12732,閉撰敃氪,Reset,icon,0,0,1
sdom2733,12733,閉撰敃氪,Run & Run,icon,0,0,1
sdom2734,12734,閉撰敃氪,She`s Bad,icon,0,0,1
sdom2735,12735,閉撰敃氪,Shalala Ring,icon,0,0,1
sdom2736,12736,閉撰敃氪,Mi Amor,icon,0,0,1
sdom2784,12784,閉撰敃氪,Baboy,icon,0,0,1
